iter	Passed	Remaining
0	2	2191
1	4	2317
2	6	2324
3	9	2351
4	11	2287
5	13	2262
6	15	2255
7	17	2219
8	20	2207
9	22	2232
10	24	2220
11	27	2256
12	30	2286
13	32	2290
14	35	2313
15	37	2317
16	39	2270
17	40	2229
18	41	2166
19	44	2169
20	46	2161
21	48	2148
22	50	2147
23	52	2150
24	55	2169
25	57	2169
26	60	2173
27	62	2170
28	64	2169
29	66	2164
30	69	2177
31	72	2183
32	74	2182
33	76	2176
34	78	2173
35	81	2170
36	82	2158
37	85	2159
38	87	2155
39	89	2152
40	91	2149
41	94	2146
42	96	2144
43	98	2143
44	101	2149
45	103	2138
46	105	2132
47	107	2130
48	109	2131
49	111	2125
50	114	2124
51	116	2126
52	119	2132
53	120	2118
54	122	2111
55	125	2109
56	127	2107
57	129	2100
58	131	2101
59	133	2099
60	136	2100
61	138	2096
62	140	2094
63	143	2094
64	145	2091
65	147	2091
66	150	2089
67	152	2085
68	154	2081
69	156	2080
70	158	2075
71	160	2073
72	163	2073
73	165	2071
74	167	2071
75	170	2072
76	172	2071
77	175	2069
78	177	2066
79	179	2066
80	182	2067
81	184	2065
82	186	2062
83	189	2062
84	191	2059
85	193	2056
86	196	2062
87	199	2064
88	201	2064
89	203	2062
90	206	2064
91	209	2063
92	211	2063
93	213	2059
94	215	2055
95	218	2055
96	219	2045
97	221	2037
98	223	2034
99	225	2032
100	228	2029
101	230	2029
102	232	2026
103	234	2023
104	236	2020
105	239	2019
106	241	2017
107	244	2017
108	246	2017
109	248	2009
110	250	2009
111	253	2008
112	255	2007
113	258	2006
114	260	2004
115	262	2003
116	265	2001
117	267	1996
118	269	1996
119	272	1998
120	275	2000
121	277	2000
122	280	1997
123	282	1995
124	285	1995
125	287	1994
126	290	1995
127	292	1990
128	294	1986
129	296	1985
130	299	1983
131	301	1984
132	304	1985
133	307	1988
134	310	1988
135	312	1988
136	315	1986
137	318	1986
138	320	1984
139	322	1982
140	326	1986
141	328	1987
142	331	1984
143	333	1983
144	335	1981
145	337	1976
146	340	1975
147	342	1973
148	345	1970
149	347	1968
150	349	1967
151	352	1965
152	354	1964
153	357	1962
154	359	1959
155	361	1956
156	364	1954
157	366	1952
158	369	1954
159	371	1951
160	374	1949
161	376	1948
162	378	1945
163	381	1944
164	384	1947
165	387	1947
166	390	1945
167	392	1943
168	394	1937
169	396	1936
170	399	1934
171	401	1933
172	404	1931
173	405	1925
174	407	1923
175	410	1921
176	412	1917
177	415	1916
178	417	1913
179	419	1911
180	421	1906
181	423	1904
182	426	1902
183	428	1899
184	431	1900
185	433	1898
186	436	1895
187	438	1893
188	440	1890
189	442	1888
190	445	1887
191	448	1887
192	450	1884
193	453	1882
194	455	1879
195	457	1876
196	459	1874
197	462	1871
198	464	1870
199	466	1867
200	469	1865
201	471	1862
202	473	1860
203	476	1859
204	479	1858
205	481	1855
206	483	1853
207	486	1850
208	488	1847
209	490	1846
210	492	1843
211	495	1842
212	498	1841
213	500	1839
214	503	1836
215	504	1832
216	507	1830
217	509	1828
218	512	1826
219	514	1824
220	516	1821
221	519	1819
222	521	1815
223	523	1812
224	525	1810
225	527	1807
226	530	1805
227	532	1803
228	535	1801
229	537	1798
230	539	1796
231	541	1793
232	544	1792
233	547	1790
234	549	1788
235	551	1786
236	553	1782
237	555	1779
238	558	1778
239	560	1775
240	563	1774
241	566	1773
242	568	1771
243	571	1769
244	573	1767
245	576	1765
246	578	1764
247	581	1761
248	583	1759
249	585	1756
250	587	1754
251	590	1753
252	593	1751
253	595	1749
254	597	1746
255	599	1743
256	601	1740
257	604	1738
258	607	1737
259	609	1734
260	611	1732
261	614	1730
262	616	1727
263	619	1726
264	621	1724
265	624	1723
266	626	1720
267	628	1717
268	630	1714
269	633	1712
270	635	1709
271	638	1707
272	640	1705
273	642	1703
274	644	1700
275	647	1697
276	648	1693
277	651	1691
278	654	1690
279	656	1687
280	659	1687
281	661	1684
282	663	1681
283	666	1679
284	668	1677
285	670	1675
286	672	1669
287	674	1667
288	676	1663
289	678	1660
290	680	1658
291	682	1654
292	685	1652
293	686	1648
294	689	1646
295	691	1644
296	693	1641
297	695	1639
298	697	1636
299	700	1633
300	702	1632
301	705	1629
302	707	1627
303	709	1624
304	711	1622
305	714	1620
306	716	1617
307	718	1615
308	721	1612
309	723	1610
310	725	1608
311	727	1605
312	730	1602
313	732	1601
314	735	1598
315	737	1595
316	739	1592
317	741	1590
318	744	1588
319	746	1585
320	748	1584
321	751	1581
322	753	1579
323	755	1577
324	757	1574
325	760	1571
326	762	1569
327	764	1567
328	767	1565
329	769	1562
330	771	1560
331	774	1557
332	776	1555
333	779	1553
334	781	1551
335	784	1549
336	787	1548
337	789	1546
338	791	1543
339	794	1541
340	796	1539
341	798	1537
342	801	1534
343	803	1532
344	805	1530
345	808	1528
346	811	1526
347	813	1524
348	816	1522
349	817	1518
350	820	1516
351	823	1515
352	825	1513
353	827	1510
354	830	1508
355	832	1506
356	834	1503
357	837	1501
358	839	1498
359	841	1496
360	844	1494
361	847	1493
362	849	1490
363	852	1489
364	855	1487
365	857	1485
366	860	1483
367	862	1482
368	865	1479
369	867	1477
370	870	1475
371	872	1472
372	874	1470
373	877	1468
374	879	1466
375	881	1463
376	884	1460
377	886	1458
378	888	1456
379	890	1453
380	893	1452
381	896	1449
382	898	1447
383	900	1445
384	903	1442
385	904	1439
386	906	1436
387	909	1434
388	911	1432
389	913	1429
390	915	1426
391	918	1424
392	920	1421
393	922	1419
394	924	1416
395	927	1414
396	929	1412
397	932	1410
398	934	1408
399	937	1405
400	940	1404
401	942	1401
402	944	1399
403	946	1396
404	949	1394
405	951	1391
406	953	1389
407	956	1388
408	958	1385
409	961	1383
410	963	1380
411	965	1377
412	967	1375
413	970	1373
